岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
游戏测试体验员,米路游,0-20人,游戏,高中,经验不限,"['丰富的游戏经验', '手游测试经验']","['年终奖', '五险一金', '股票期权', '保底工资']",,100-110元/天,浙江,杭州,上城区,丁桥,120.218718,30.357835,https://www.zhipin.com/job_detail/0788d5c3338ce2831HB539m0FVdW.html,0788d5c3338ce2831HB539m0FVdW
游戏测试（应届生友好/有带教）,尚米网络,100-499人,互联网,本科,经验不限,"['有责任心', '游戏经历丰富', '测试经历']","['五险一金', '带薪年假', '娱乐电玩', '健身器材', '员工旅游']",5500.0,5-6K,浙江,杭州,余杭区,未来科技城,119.90553058871501,30.248593208046902,https://www.zhipin.com/job_detail/fa4caced381049400nZ92967FlBQ.html,fa4caced381049400nZ92967FlBQ
中高级游戏测试,九玩网络,1000-9999人,游戏,大专,5-10年,"['手游测试经验', 'SLG']","['生日福利', '节日福利', '入职体检', '定期体检', '带薪年假', '年终奖', '补充医疗保险', '五险一金', '团建聚餐', '员工旅游', '加班补助', '全勤奖']",10500.0,8-13K,浙江,杭州,滨江区,长河,120.234662,30.224217,https://www.zhipin.com/job_detail/1bbd0f8efc18714a1nV809i_EVRY.html,1bbd0f8efc18714a1nV809i_EVRY
测试开发工程师（游戏方向）,游戏科学,100-499人,游戏,本科,经验不限,"['测试', '游戏测试']","['五险一金', '年终奖', '补充医疗保险', '加班补助', '包吃', '零食下午茶', '交通补助']",20000.0,15-25K·14薪,浙江,杭州,西湖区,美院象山,120.074607,30.151809,https://www.zhipin.com/job_detail/0b7ce67bd8728cf60nZ-3tq5FFVY.html,0b7ce67bd8728cf60nZ-3tq5FFVY
游戏测试（打包方向）,无端科技,500-999人,游戏,本科,1-3年,"['软件测试经验', '丰富的游戏经验', '手游测试经验', '计算机相关专业']","['全勤奖', '法定节假日三薪', '五险一金', '节假日加班费', '工龄奖']",12500.0,10-15K·13薪,浙江,杭州,西湖区,西溪,120.101021,30.267704,https://www.zhipin.com/job_detail/af013ed968df01d60nRy2ti5EVNV.html,af013ed968df01d60nRy2ti5EVNV
游戏测试（初中高级都招）,杭州佰钧成,10000人以上,互联网,大专,3-5年,"['丰富的游戏经验', '手游测试经验', '主机游戏测试经验', '横板动作类游戏', 'DNF', 'ARPG', 'MMO']",[],12500.0,10-15K,浙江,杭州,滨江区,长河,120.22213201749548,30.201337478084458,https://www.zhipin.com/job_detail/3d559719ad6f27b10nJ73tu1F1FX.html,3d559719ad6f27b10nJ73tu1F1FX
初级/高级游戏测试工程师（22届-25届可投）,网易,10000人以上,互联网,本科,1-3年,"['软件测试经验', '丰富的游戏经验', '手游测试经验']","['五险一金', '带薪年假', '定期体检', '年终奖', '补充医疗保险', '节日福利', '免费班车', '包吃', '全勤奖']",30000.0,20-40K·16薪,浙江,杭州,滨江区,长河,120.190678,30.187641,https://www.zhipin.com/job_detail/979e68431a65fb6b0nB83Ny8F1pQ.html,979e68431a65fb6b0nB83Ny8F1pQ
游戏测试,雅乐集团,500-999人,互联网,学历不限,3-5年,[],"['生日福利', '带薪年假', '节日福利', '五险一金', '定期体检', '零食下午茶', '补充医疗保险']",12500.0,10-15K,浙江,杭州,滨江区,长河,120.179668,30.189757,https://www.zhipin.com/job_detail/0870b96d8da545530nZ42tq1GFtZ.html,0870b96d8da545530nZ42tq1GFtZ
手游测试工程师,心光流美,100-499人,游戏,本科,经验不限,"['游戏测试', '功能测试', '性能测试', '手机测试', '移动端测试', '软件测试', '测试开发', '游戏', '测试', '测试工程师', '自动化测试', 'Python']","['带薪病假', '年终奖', '定期体检', '团建聚餐', '五险一金', '全勤奖', '节日福利', '绩效奖金', '保底工资', '零食下午茶', '带薪年假', '独生子女陪护', '生日福利']",15500.0,11-20K,浙江,杭州,滨江区,长河,120.179643,30.18819,https://www.zhipin.com/job_detail/d117274607abd7c50H1539m8ElQ~.html,d117274607abd7c50H1539m8ElQ~
游戏测试,卓越际联科技有限公司,1000-9999人,互联网,大专,1-3年,[],['五险一金'],8500.0,8-9K,浙江,杭州,滨江区,长河,120.19031058835503,30.189646912797507,https://www.zhipin.com/job_detail/80933876b76aebb70nFz2tS0EVtS.html,80933876b76aebb70nFz2tS0EVtS
游戏测试工程师,幻书科技,20-99人,游戏,本科,1-3年,[],"['团建聚餐', '五险一金', '零食下午茶', '试用期不打折', '年终奖', '节假日加班费', '加班补助', '餐补', '全勤奖', '法定节假日三薪', '租房补贴', '生日福利', '员工旅游', '节日福利', '带薪年假']",11000.0,10-12K·13薪,浙江,杭州,余杭区,仓前,119.965431,30.264261,https://www.zhipin.com/job_detail/5a4f411ea496b5d403B92N-0FFBY.html,5a4f411ea496b5d403B92N-0FFBY
游戏测试,广州某大型互联网综合平台上市公司,10000人以上,互联网,本科,3-5年,[],"['全勤奖', '带薪年假', '节日福利', '包吃', '定期体检', '免费班车', '年终奖', '补充医疗保险', '五险一金']",25000.0,20-30K,浙江,杭州,,,120.191193,30.185029,https://www.zhipin.com/job_detail/c311a8755478798b0nB609y6GVBZ.html,c311a8755478798b0nB609y6GVBZ
中级游戏测试,谦贞数字,20-99人,人工智能,本科,3-5年,[],"['节日福利', '零食下午茶', '五险一金']",10000.0,8-12K,浙江,杭州,滨江区,西兴,120.21469254448245,30.185553200236097,https://www.zhipin.com/job_detail/841d5e04e3f4a0200nF-3t-8GVtQ.html,841d5e04e3f4a0200nF-3t-8GVtQ
游戏测试工程师（异地招聘）,IGG,1000-9999人,游戏,大专,1-3年,[],"['员工旅游', '节日福利', '生日福利', '五险一金', '定期体检', '餐补', '团建聚餐', '带薪年假', '零食下午茶', '免费工装', '年终奖', '股票期权']",12500.0,10-15K,浙江,杭州,滨江区,长河,120.164639,30.186695,https://www.zhipin.com/job_detail/e53d7649d3ea5d6c03153964EVBY.html,e53d7649d3ea5d6c03153964EVBY
