岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
游戏数值策划,易娱网络,500-999人,互联网,本科,3-5年,"['经济系统搭建', '职业系统设计', 'RPG游戏', 'SLG游戏']","['年终奖', '生日福利', '五险一金', '节日福利', '带薪年假', '定期体检', '餐补', '全勤奖', '交通补助', '团建聚餐', '员工旅游']",30000.0,20-40K·13薪,广东,广州,,,113.333221,23.133926,https://www.zhipin.com/job_detail/719099aef5cdb7271XJ52tW_FlVU.html,719099aef5cdb7271XJ52tW_FlVU
游戏技术开发专家（发行向）,3K游戏,100-499人,游戏,本科,5-10年,[],"['包吃', '团建聚餐', '节日福利', '定期体检', '零食下午茶', '五险一金', '免费班车', '带薪年假', '生日福利', '补充医疗保险', '年终奖']",25000.0,20-30K·15薪,广东,广州,海珠区,官洲,113.375387,23.088334,https://www.zhipin.com/job_detail/1c2702a512facaed0nV729S6E1NR.html,1c2702a512facaed0nV729S6E1NR
游戏UI设计师（女性向项目）,英雄游戏,1000-9999人,游戏,大专,5-10年,"['5年以上游戏UI经验', 'PS', '周末双休', 'AI', '3-5年游戏UI经验', '擅长手绘', '写实', '五险一金', '带薪假期', '年终奖', '包吃', '无需外派', '二次元', '自研项目']","['通讯补贴', '定期体检', '五险一金', '带薪年假', '股票期权', '免费班车', '年终奖', '员工旅游', '餐补', '补充医疗保险', '节日福利']",37500.0,25-50K·14薪,广东,广州,海珠区,琶洲,113.345398,23.10276,https://www.zhipin.com/job_detail/6ad69de040ad3f760nZz2ti_FFpU.html,6ad69de040ad3f760nZz2ti_FFpU
游戏商业化PM,广州陪宠科技有限公司,20-99人,互联网,本科,1-3年,"['企业内部技术项目管理', '计算机相关专业', '管理相关专业', '软件研发经验', '团队管理经验', '实施交付经验', '游戏app']","['团建聚餐', '节日福利', '带薪年假', '零食下午茶', '生日福利', '加班补助', '股票期权', '年终奖', '五险一金', '绩效奖金']",21500.0,18-25K,广东,广州,天河区,天河北,113.32234153746734,23.123436796978005,https://www.zhipin.com/job_detail/18ca59a2b9da41bd0nB80tu1GVJT.html,18ca59a2b9da41bd0nB80tu1GVJT
安全工程师（游戏公司）,上海敬游,500-999人,游戏,本科,5-10年,['安全'],"['五险一金', '年终奖', '餐补']",22500.0,15-30K·14薪,广东,广州,海珠区,琶洲,113.36934,23.097333,https://www.zhipin.com/job_detail/47671fb1073fcc260nBy29q4GVNZ.html,47671fb1073fcc260nBy29q4GVNZ
资深海外游戏投放 （经理）（欧美方向）,北京木叶村数字科技,100-499人,广告/公关/会展,本科,5-10年,"['游戏广告投放', '海外广告投放', '企业品牌方', '信息流投放经验', '游戏广告投放经验', '海外广告投放经验', '企业品牌方经验']","['绩效奖金', '团建聚餐', '保底工资', '餐补', '交通补助', '年终奖', '底薪加提成', '零食下午茶', '五险一金']",22500.0,15-30K,广东,广州,天河区,棠下,113.394689,23.129864,https://www.zhipin.com/job_detail/b8f55d545cafa2ca0nB-0tm6E1pR.html,b8f55d545cafa2ca0nB-0tm6E1pR
海外游戏发行制作人,广州青木网络有限公司,20-99人,游戏,本科,5-10年,"['休闲益智', '制作人']","['节假日加班费', '绩效奖金', '零食下午茶', '法定节假日三薪', '五险一金', '带薪年假']",27500.0,20-35K,广东,广州,天河区,棠下,113.375549,23.116751,https://www.zhipin.com/job_detail/07872b9d8c4ddf00031409W6E1BU.html,07872b9d8c4ddf00031409W6E1BU
游戏数值,9377游戏,500-999人,游戏,本科,经验不限,"['vba', 'RPG游戏', '平衡制定', '公式设计', '怪物数值设计']","['俱乐部活动', '法定节假日三薪', '员工旅游', '包吃', '五险一金', '有无线网', '年终奖', '生日福利', '定期体检', '零食下午茶', '带薪年假', '节日福利', '餐补', '团建聚餐', '全勤奖']",17000.0,12-22K,广东,广州,天河区,五山,113.335754,23.150803,https://www.zhipin.com/job_detail/4e3f815b6501131003143dq_EVFQ.html,4e3f815b6501131003143dq_EVFQ
游戏策划,某大型游戏公司,1000-9999人,游戏,本科,5-10年,[],[],32500.0,25-40K·14薪,广东,广州,,,113.347667,23.104831,https://www.zhipin.com/job_detail/ac2fccac09e8953b0nZ8296_GFFQ.html,ac2fccac09e8953b0nZ8296_GFFQ
海外游戏投放,某知名互联网金融公司,1000-9999人,互联网金融,本科,5-10年,[],"['年终奖', '五险一金', '零食下午茶', '带薪年假', '定期体检', '员工旅游', '股票期权', '节日福利', '加班补助', '补充医疗保险']",30000.0,20-40K·15薪,广东,广州,,,113.326558,23.126633,https://www.zhipin.com/job_detail/d70f11ffc785efb30nd82tu4FlJQ.html,d70f11ffc785efb30nd82tu4FlJQ
